Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2016.0,Unprovoked,AUSTRALIA,Western Australia,Mindarie,diving,F,60.0,Y
2016.0,Unprovoked,EGYPT,Suez,Ain Sokhna,swimming,M,23.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,fishing,M,,UNKNOWN
2016.0,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa ",surfing,M,,N
2016.0,"Valid, but unknown",AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",surfing,M,29.0,Y
2016.0,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",swimming,F,52.0,N
2016.0,Unprovoked,USA,Florida,"Neptune, Duval County",swimming,M,13.0,N
2016.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",swimming,F,57.0,N
2016.0,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",swimming,F,22.0,N
2016.0,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",swimming,F,11.0,N
2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",swimming,M,48.0,N
2016.0,Provoked,USA,Florida,"Boca Raton, Palm Beach County",other,F,23.0,N
2016.0,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",swimming,M,59.0,N
2016.0,Provoked,NEW ZEALAND,North Island,Cormandel,fishing,M,39.0,N
2016.0,Unprovoked,INDONESIA,Bali,Balian,surfing,M,24.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,15.0,N
2016.0,"Valid, but unknown",SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",surfing,M,,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",swimming,M,12.0,N
2016.0,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,fishing,M,22.0,N
2016.0,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,fishing,M,26.0,N
2016.0,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",fishing,M,26.0,N
2016.0,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,other,F,69.0,Y
2016.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",fishing,M,34.0,N
2016.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",other,F,46.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,surfing,M,22.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,surfing,M,41.0,N
